analysisengin, uima, provid, return, licens, apach, distribut, file, asf, softwar, 
analyz, stopword, stop, catalan, set, word, stem, default, tokenstreamcompon, setkeywordmarkerfilt, 
line, r1, call, 194, substr, r2, gopast, 173, 185, 119, 
facetlabel, charblockarrai, serial, compactlabeltoordin, hash, calcul, path, function, util, equal, 
cell, shapefilt, shape, byte, leaf, gettokenbytesnoleaf, level, result, grid, goe, 
cell, thiscel, hasnext, getshaperel, iter, clear, fromcel, spatialrel, next, underneath, 
prefixtreestrategy#newcelltobytesrefiter, bytesrefiter, util, org, spatial, wrapper, cell, around, abl, tree, 
4942, redund, <=, cell, leaf, lucen, fix, prefix, index, test, 
examin, characteriter, buffer, region, breakiter, text, length, process, char, maximum, 
map, chararraymap, chararrayset, ignorecas, kei, unmodifi, given, sensit, chararraysetiter, return, 
set, chararrayset, ignorecas, unmodifi, abstractset#keyset, char, startsiz, endless, given, capac, 
grow, 2nd+, block, kb, stringbuild, strategi, 32, similar, effici, char, 
charfilt, offset, input, chain, correct, reader, subclass, java, currentoff, underli, 
charfilt, factori, classpath, context, name, look, classpathclassload, given, reload, classload, 
output1, output2, prefix, output, remov, entir, common, utf8, sequenc, fst, 
lexer, charact, begintoken, column, backup, last, line, token, implement, return, 
termbuff, charact, append, length, argument, sequenc, newsiz, buffer, increas, four, 
append, interfac, slight, csq, charsequ, need, big, alloc, enough, charset, 
token, supplementari, codepoint, characterutil, chartoken, char, buffer, datalen, offset, sure, 
charact, width, letter, full, han, smartchineseanalyz, alphanumer, punctuat, act, digit, 
capac, arrai, item, vector, orgfop, encapsul, fop, resiz, slightli, project, 
categori, lookup, charact, data, intern, class, onli, licens, distribut, file, 
nakaguro, characterclassnam, def, charact, code, class, point, codepoint, categori, todo, 
maxdeterminizedst, automaton, automataon, determin, toocomplextodeterminizeexcept, accept, state, construct, true, match, 
buffer, characterbuff, char, charact, offset, sequenc, fill, code, surrog, reader, 
charsref, mechan, achar, charact, length, transit, arrai, compar, spec, meet, 
charsref, builder, content, char, interpret, byte, utf, given, arrai, refer, 
beer, better, bsearch, codec, spent, hi, tri, dict, littl, name, 
explan, queri, score, assert, searcher, defaultfieldnam, deep, messag, displa, match, 
statu, segment, term, test, vector, field, index, exorcis, check, null, 
join, block, illegalstateexcept, index, appropri, check, structur, good, util, doe, 
checksum, seek, checksumindexinput, resourcedescript, opaqu, goe, expens, posit, indexinput, forward, 
compactlabeltoordin, cach, memori, full, taxonomywritercach, never, map, tell, although, maintain, 
stop, word, standardanalyz, english, build, analyz, classicanalyz, stopword, classictoken, reader, 
strip, dot, remov, acronym, eo, charact, last, extract, filter, token, 
classicfilterfactori, class=, solr, classicfilt, analyzer&gt, classictokenizerfactori, positionincrementgap=, fieldtype&gt, textfield, fieldtyp, 
norm, valu, overlap, byte, fieldinvertstate#getlength, implement, posit, zero, float, round, 
token, classictoken, jflex, split, grammar, scanner, punctuat, skip, standardtoken, hostnam, 
classictokenizerfactori, text_clssc, maxtokenlength=, analyzer&gt, classictoken, solr, 120, positionincrementgap=, fieldtype&gt, textfield, 
charact, lexic, unpack, state, translat, buffer, scanner, input, dfa, pack, 
assignedclass, score, assign, classifier#assignclass, result, class, retriev, classifi, repres, hold, 
classifi, base, class, test, null, null, null, null, null, null, 
classifi, train, assign, text, classfieldnam, unseen, low, io, ioexcept, error, 
resourc, classload, absolut, path, load, class, class#fornam, context, resourceload, instanc, 
perftask#shouldnotrecordstat, none, statist, clear, side, effect, javadoc, data, non, licens, 
close, dowait, writer, nullifi, perfrundata, fals, param, infostream, side, effect, 
reader, nullifi, perfrundata, reopen, relat, side, effect, caus, index, close, 
taxonomi, nullifi, perfrundata, side, effect, writer, close, object, index, licens, 
taxonomi, nullifi, perfrundata, reader, side, effect, close, licens, distribut, file, 
4058, attempt, close, lucenetestcase#newdirectori, basedirectorywrapp, failur, dir, deleg, real, util, 
purg, threadloc, reclaim, thread, gc, weakrefer, hard, master, care, stale, 
addcollect, debug, note, licens, inform, distribut, file, apach, asf, softwar, 
encodesdecod, codec, name, spi, serviceload, segment, classload, indexwriterconfig, regist, resolv, 
field, termspost, doe, norm, exist, docvalu, expert, retriev, intern, request, 
codec, header, footer, checksum, identifi, string, actual, length, read, valid, 
definit, character#codepointcount, int, short, min, codepointcountfilt, length, char, max, within, 
codepointcountfilterfactori, class=, solr, codepointcountfilt, analyzer&gt, max=, min=, whitespacetokenizerfactori, positionincrementgap=, fieldtype&gt, 
collat, collatedtermattributeimpl, chartermattributeimpl, kei, jre, sync, reduc, properli, extens, case, 
collat, collationkei, collationattributefactori, icu4j, icu, gener, java, icucollationattributefactori, orgchartscol, attribut, 
collat, collationkeyanalyz, trap, kei, docvaluesrangequeri, via, uninvers, effici, sorteddocvaluesfield, setter, 
collat, collationkei, icu4j, collationkeyanalyz, icu, java, gener, icucollationkeyanalyz, orgchartscol, site, 
farsi, u+0633, u+062f, collat, charact, arab, order, unicod, termrangequeri, includ, 
abstractfirstpassgroupingcollector, fieldcompar, slot, group, represent, track, expert, javadoc, top, intern, 
total, field, >=, terms#getdoccount, number, indexreader#maxdoc, return, javadoc, must, regardless, 
leafcollector#collect, consequ, hide, prematur, indexsearcher#search, throw, unnecessari, termin, indexsearch, catch, 
list, sort, randomaccess, access, link, random, tim, fall, illegalargumentexcept, intro, 
collector, topdocscollector, sort, accord, context, score, explicit, collect, subclass, search, 
collector, collect, meaning, individu, reduc, result, collectormanag, leav, topdocs#merg, topdocscollector, 
label, map, slot, labeltoordinal#invalid_ordin, collisionmap, advanc, collid, compactlabeltoordin, entri, hashmap, 
combinesuggest, referenc, suggest, combin, term, form, origin, id, arrai, index, 
fsdirectori, clazznam, class, load, path, constructor, illegalaccessexcept, instanc, directori, classnotfoundexcept, 
commit, indexwrit, licens, distribut, file, apach, asf, softwar, mai, see, 
createindextask, anyth, print, function, don, test, licens, distribut, file, apach, 
taxonomi, commit, index, licens, distribut, file, apach, asf, softwar, mai, 
bigram, common, gram, token, posit, word, man, increment, input, unigram, 
commongramsfilterfactori, class=, solr, commongramsstopword, analyzer&gt, commongramsfilt, words=, ignorecase=, txt, whitespacetokenizerfactori, 
word, commongramsqueryfilt, stop, n=not, bar, queri, foo, bigram, stopword, test, 
rain, spain, mainli, commongramsfilt, fall, commongramsqueryfilt, bigram, output, type, gram, 
commongramsqueryfilterfactori, commongramsqueryfilt, class=, solr, commongramsquerystopword, analyzer&gt, commongramsfilt, words=, ignorecase=, txt, 
fuzzi, fuzzyprefixlength, default, phrase, queri, resolut, set, wildcard, boolean, prefix, 
frequenc, claus, low, high, term, queri, option, commontermsqueri, frequent, number, 
freq, linefiledoc, high, mandatori, low, 10x, around, min, docs&freq, univers, 
hash, label, hasharrai, int, >>>, categorypath, charblockarrai, arrai, collis, len, 
compil, arg, stemmer, tabl, path, program, line, argument, stem, command, 
automaton, debug, println, system, accept, idx, transit, state, simplifi, char, 
completionpostingsformat, lucene50, lucene50postingsformat, org, suggest, lucen, codec, sole, search, constructor, 
automaton, preserv, convert, token, expans, separ, increment, analyz, graph, boolean, 
fst, store, weight, field, surfac, form, completionindex, built, completiondictionari, lkp, 
lkp, fst, dictionari, complet, checksum, instanti, open, footer, valid, load, 
codecutil#writehead, codechead, suggest, suggestfield, complet, header, fst, lkp, cmp, implement, 
queri, bitsproduc, suggestindexsearch, contextsuggestfield, completionqueri, scope, document, suggestdoc, suggest, searcher, 
live, bit, suggest, scorer, weight, complet, float, int, leafcollector, livedoc, 
fst, weight, completionstermsread, nrtsuggest, contextsuggestfield, entri, suggestfield, return, suggest, correspond, 
utf, automaton, stream, token, sep, convert, 16, remap, convers, hole, 
easili, move, assert, can, test, licens, distribut, file, apach, asf, 
intsref, path, pathprefix, partial, completionqueri, suggest, automaton, context, boost, queri, 
suggest, load, completiontermsread, field, completiondictionari, weight, entri, holder, appropri, concurr, 
claus, phrase, pars, phrasequeri, fred, smith, queri, querypars, content, syntax, 
oper, andornot, infix, bracket, prefix, subqueri, redund, composit, space, overrid, 
script, break, uscript, code, text, examin, retriev, breakiter, uax, 15924, 
indexreader#leav, leafread, directoryreader#open, indexread, reader, get, method, composit, compos, thread, 
compositereadercontext, reader, compositeread, indexreadercontext, top, level, intermedi, aren, parent, context, 
predic, geometri, darn, sdv, rpt, iswithin, touch, intersect, pretti, grid, 
serializeddvstrategi, cell, fairli, grid, due, gaussian, edg, 256256, todo, prospect, 
boolval, predfuncvalu, verifi, indexqueri, approxim, functionvalues#boolv, cost, todo, good, twophaseiterator#match, 
compound, encodesdecod, segment, view, constructor, minim, invoc, implicit, pack, produc, 
token, propag, subword, decompos, origin, get, filter, compoundwordtokenfilterbase#termatt, minim, word, 
compressingcodec, suffix, codec, segment, compress, random, compressingstoredfieldsformat, creat, empti, everyth, 
compressionmod, chunk, compress, compressingstoredfieldsformat, storedfieldsformat, size, suffix, byte, name, document, 
avg, delta, compressingstoredfieldsindexwrit, fieldsindexin, respons, pointer, caller, access, close, random, 
chunk, block, pointer, base, averag, memori, th, docbas, 1024, restor, 
block, small, read, serial, byte, document, decompress, skipfield, fewer, neg, 
byte, header, chunk, timestamp, compress, bit, dirti, float, valu, store, 
compressionmod, compress, chunk, compressingtermvectorsformat, ratio, improv, name, format, codecutil#checkindexhead, size, 
number, decod, term, delta, posit, read, skip, vector, chunk, offset, 
chunk, dirti, incomplet, bulk, field, payload, compress, number, term, compressingtermvectorsread, 
compress, mode, ratio, decompress, dummi, trade, pad, rate, quickli, although, 
decompress, compress, arrai, compressstr, byte, best_compress, previous, data, zip, compressionlevel, 
compressor, decompressor, decompress, respons, byte, compress, necessari, stop, know, typic, 
merg, thread, throttl, rate, maxthreadcount, run, io, paus, backlog, rotat, 
mind, alg, load, don, licens, file, distribut, apach, asf, softwar, 
properti, prop, config, dir, algorithm, perf, line, read, round, algread, 
abstractqueryconfig, instanc, type, valu, kei, retriev, argument, defin, hold, new, 
conjunct, cheapest, iter, approxim, matchcost, collaps, twophaseiter, docsandfreq, docsenum, overestim, 
conjunctionscor, scorer, conjunct, subset, must, note, queri, set, new, creat, 
astwophaseiter, conjunctionspan, span, doc, matchcost, subspan, sub, twophaseiter, never, startend, 
backward, id, consecut, connect, gram, matter, cost, mayb, doesn, arrai, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
backward, id, consecut, matter, mayb, access, doesn, build, remov, arrai, 
constant, base, number, class, null, null, null, null, null, null, 
constant, document, return, null, null, null, null, null, null, null, 
scorer, queri, wrap, score, strip, constant, simpli, pass, csq, paramet, 
constantscorequeri, builder, licens, distribut, file, apach, asf, softwar, mai, see, 
weight, iter, score, twophaseiter, phase, parent, scorer, document, disi, drive, 
weight, score, constant, queri, wrap, boost, produc, meaning, mostli, geo, 
iff, run, version#latest, true, jvm, freebsd, 64bit, constant, mac, bugfix, 
experiment, licens, distribut, file, apach, asf, softwar, mai, see, agreement, 
contentsourc, feed, bytask, benchmark, consum, org, lucen, licens, apach, distribut, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
leaf, shape, cell, frog, leap, docid, null, effect, queri, spatial, 
item, sourc, gener, content, log, reset, messag, number, byte, verbos, 
docdata, contentitemssourc, content, docmak, sourc, etc, simultan, thread, contentsourc, trec, 
context, completionqueri, boost, queri, addcontext, sep_label, contextqueri, exact, prefix, charsequ, 
context, suggest, prefixtokenfilt, prefix, weight, valu, separ, name, aslist, field, 
wait, reopen, referencemanag, searcher, visibl, gener, becom, target, thread, maxm, 
userqueri, querypars, parser, pars, xml, tag, construct, synchronis, queryfilt, assembl, 
userqueri, querypars, parser, xml, tag, synchron, construct, pars, assembl, defaultfield, 
userqueri, querypars, parser, xml, tag, synchron, construct, pars, assembl, defaultfield, 
messag, root, caus, descript, corrupt, creat, inconsist, onli, detect, thrown, 
counter, delta, current, threadsaf, return, valu, thread, concurr, new, add, 
search, task, count, number, test, null, null, null, null, null, 
search, task, count, number, test, null, null, null, null, null, 
codec, cranki, fun, imperson, spi, dont, pass, assert, ioexcept, throw, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
imperson, spi, dont, codec, format, chang, pass, don, need, licens, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
throw, call, todo, onli, licens, distribut, except, file, apach, asf, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
imperson, spi, dont, codec, format, chang, pass, don, need, licens, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
